iter	Passed	Remaining
0	14	14653
1	24	12009
2	33	11017
3	36	9166
4	48	9687
5	52	8686
6	60	8645
7	74	9181
8	88	9793
9	100	9911
10	114	10335
11	125	10317
12	136	10360
13	146	10321
14	158	10401
15	167	10287
16	171	9888
17	179	9806
18	189	9760
19	199	9769
20	212	9895
21	221	9864
22	236	10041
23	248	10122
24	262	10221
25	273	10247
26	285	10302
27	291	10124
28	303	10153
29	312	10099
30	332	10394
31	344	10425
32	372	10910
33	383	10909
34	413	11406
35	431	11549
36	445	11596
37	471	11926
38	489	12073
39	513	12324
40	538	12585
41	561	12803
42	571	12728
43	598	13013
44	611	12979
45	625	12966
46	648	13148
47	670	13292
48	691	13425
49	703	13368
50	730	13591
51	752	13718
52	776	13873
53	796	13955
54	809	13907
55	824	13893
56	843	13962
57	856	13911
58	879	14031
59	890	13950
60	910	14014
61	937	14176
62	955	14217
63	965	14122
64	989	14232
65	1007	14251
66	1020	14214
67	1049	14386
68	1072	14467
69	1087	14454
70	1106	14477
71	1121	14454
72	1131	14369
73	1153	14438
74	1171	14453
75	1194	14517
76	1214	14559
77	1234	14590
78	1251	14592
79	1269	14594
80	1290	14643
81	1305	14617
82	1324	14638
83	1341	14625
84	1357	14614
85	1370	14569
86	1388	14572
87	1414	14655
88	1423	14572
89	1449	14651
90	1469	14679
91	1489	14696
92	1507	14700
93	1525	14700
94	1548	14754
95	1576	14844
96	1594	14839
97	1618	14896
98	1640	14927
99	1665	14986
100	1684	14992
101	1697	14946
102	1716	14946
103	1728	14895
104	1745	14875
105	1770	14935
106	1793	14969
107	1806	14923
108	1834	14999
109	1843	14919
110	1861	14907
111	1887	14968
112	1898	14902
113	1916	14897
114	1938	14921
115	1959	14933
116	1987	14998
117	2000	14955
118	2014	14916
119	2032	14904
120	2047	14872
121	2058	14814
122	2073	14787
123	2083	14720
124	2098	14687
125	2108	14624
126	2124	14605
127	2136	14553
128	2151	14528
129	2154	14419
130	2166	14374
131	2178	14325
132	2192	14291
133	2206	14259
134	2217	14206
135	2230	14173
136	2240	14115
137	2251	14066
138	2261	14005
139	2272	13959
140	2285	13925
141	2297	13881
142	2312	13860
143	2325	13825
144	2337	13783
145	2349	13745
146	2364	13722
147	2375	13674
148	2388	13643
149	2398	13593
150	2410	13554
151	2422	13514
152	2432	13464
153	2442	13419
154	2457	13396
155	2466	13346
156	2475	13294
157	2487	13253
158	2495	13201
159	2503	13145
160	2514	13105
161	2524	13059
162	2533	13008
163	2541	12954
164	2551	12909
165	2558	12856
166	2566	12802
167	2576	12758
168	2587	12724
169	2598	12687
170	2609	12651
171	2618	12605
172	2632	12583
173	2646	12565
174	2657	12527
175	2668	12495
176	2682	12472
177	2692	12433
178	2700	12387
179	2711	12353
180	2721	12314
181	2730	12273
182	2742	12242
183	2755	12219
184	2763	12175
185	2774	12141
186	2788	12123
187	2798	12087
188	2808	12053
189	2822	12031
190	2833	12001
191	2841	11959
192	2856	11942
193	2863	11898
